id_joc,total_incercari,cuvant_gasit,stare,secventa_incercari
1,9,iconografă,OK,  e o i c n g f ă
2,7,fagocitul,OK,g i f o t u l
3,5,apicolilor,OK,i o l a r
4,5,hipoplazii,OK,i p l a z
5,4,prohodi,OK,p r d i
6,5,cioplea,OK,c i o e a
7,9,covârșitelor,OK,  o r c â ș t e l
8,6,pârguirile,OK,i r â g l e
9,6,burghierile,OK,i b u g h l
10,8,samavolnicii,OK,> a s v o l n c
11,4,cășăiește,OK,ș e c i
12,3,sisalul,OK,l i u
13,5,cinerariile,OK,l i e c n
14,9,dezaglomerăm,OK,i m e d z g l o ă
15,4,tetrodă,OK,t e o d
16,6,mânjiturii,OK,i m â n j t
17,8,desofisticării,OK,i s d o t c ă r
18,3,tăieri,OK,i ă e
19,7,gentileților,OK,r g e n t ț o
20,8,nenorocitul,OK,  n o e r t u l
21,5,înaintă,OK,> n î a ă
22,6,istmicul,OK,  i s t m c
23,9,ascuțitunghicul,OK,i a s ț t n g h l
24,6,obnubilărilor,OK,b i l r n u
25,6,bumbăcelului,OK,u b l m e i
26,8,postăvăriile,OK,i p o s t v l e
27,8,centrozomul,OK,o c n t r z m u
28,6,debavurase,OK,a e d b v r
29,5,vramițe,OK,r a m ț e
30,3,retori,OK,r e o
31,7,epistolarelor,OK,e o r p s t a
32,9,închiabureați,OK,i a î n c u r e ț
33,7,laminatoarea,OK,a m i n t o r
34,7,platinez,OK,> p l a t i n
35,7,țăndărelei,OK,o ă e ț n l i
36,6,tevaturi,OK,> t e v u i
37,5,fidanțata,OK,a i n ț t
38,7,exondările,OK,x o n d ă r i
39,7,decomandată,OK,d e c o n t ă
40,4,omagiali,OK,a i o g
41,7,stâlpisem,OK,a l s t â i m
42,4,elfilor,OK,f i o r
43,7,deconcertantele,OK,e n t d o r l
44,5,gagicului,OK,l > g a c
45,5,apelarăm,OK,p e r ă m
46,9,spermatofitelor,OK,l i e r t s p m a
47,7,necredincioșilor,OK,i n e c d ș l
48,7,cinstețul,OK,i c n e ț u l
49,8,neoformațiunii,OK,i n e f m a ț u
50,7,pegmatitul,OK,t e m a i u l
51,5,plutuiește,OK,u p l i ș
52,4,cintezii,OK,c n t z
53,6,folfăiesc,OK,f l ă e s c
54,7,otorinolaringologelor,OK,o r n g t a e
55,5,estetizantei,OK,t i s z n
56,7,balaoacheșă,OK,a l o c h e ș
57,5,notăriță,OK,n t r i ț
58,4,duleți,OK,u e ț i
59,7,rickettsiozei,OK,i t r c k o z
60,3,cireșe,OK,e i r
61,5,zgărdat,OK,z g r a t
62,7,prețioaselor,OK,r e p ț i a s
63,6,dimprejur,OK,i m p e j u
64,4,bulbucat,OK,a c b u
65,6,arierdună,OK,u r a i e ă
66,5,flacidei,OK,f l a d e
67,7,convenționali,OK,a o n i c v e
68,5,cuconiță,OK,c u o n i
69,7,neliniștitorului,OK,i l t u e o r
70,7,bihindisirile,OK,i h n d s l e
71,7,împlinirea,OK,i î m p r e a
72,5,instigând,OK,n t g â d
73,3,recente,OK,e n t
74,3,emblemă,OK,m b l
75,7,singurașul,OK,u s i n r a l
76,8,subsecretarului,OK,u s r b c a l i
77,10,devitalizaserăm,OK,i a d v t l z s r m
78,9,subapreciez,OK,  e s u b a p c z
79,5,clasatului,OK,a u s t i
80,7,faraonicul,OK,a f o i c u l
81,5,înrolărilor,OK,l î n ă i
82,5,primeziu,OK,i p m e z
83,5,cruciatului,OK,u i r t l
84,8,prodigatele,OK,e r d i g a t l
85,2,vina,OK,v i
86,5,cifrarăm,OK,c i a ă m
87,9,înfruntasem,OK,e   n î f r u t a
88,4,vioșeli,OK,i v e l
89,9,amușiserăți,OK,i   a m u ș s e r
90,7,telegrafiară,OK,a t l g f i ă
91,8,citronadele,OK,i e c t r o n l
92,10,baschetbaliștilor,OK,b a t l i c h e ș o
93,6,septicul,OK,s e t i c u
94,3,veneno,OK,> e v
95,6,gudronăm,OK,g u d r n m
96,7,cordenciului,OK,i u o d e n l
97,6,stropșire,OK,r o p ș i e
98,6,foiletonist,OK,o t l e n s
99,6,pliciseră,OK,i p l c e r
100,3,achitat,OK,c h i
